Retailer Dataset,,,,,,,,,,,
,,,,,,,,,,,
Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
BevCo,1185732,01-01-2022,Northeast,New York,New York,Coca-Cola,0.50,"12,000",6000.00,3000.00,50%
BevCo,1185732,02-01-2022,Northeast,New York,New York,Diet Coke,0.50,"10,000",5000.00,1500.00,30%
BevCo,1185732,03-01-2022,Northeast,New York,New York,Sprite,0.40,"10,000",4000.00,1400.00,35%
BevCo,1185732,04-01-2022,Northeast,New York,New York,Fanta,0.45,"8,500",3825.00,1338.75,35%
BevCo,1185732,05-01-2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,30%
BevCo,1185732,06-01-2022,Northeast,New York,New York,Dasani Water,0.50,"10,000",5000.00,1250.00,25%
BevCo,1185732,07-01-2022,Northeast,New York,New York,Coca-Cola,0.50,"12,500",6250.00,3125.00,50%
BevCo,1185732,08-01-2022,Northeast,New York,New York,Diet Coke,0.50,"9,000",4500.00,1350.00,30%
BevCo,1185732,21-01-2022,Northeast,New York,New York,Sprite,0.40,"9,500",3800.00,1330.00,35%
BevCo,1185732,22-01-2022,Northeast,New York,New York,Fanta,0.45,"8,250",3712.50,1299.38,35%
BevCo,1185732,23-01-2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,30%
BevCo,1185732,24-01-2022,Northeast,New York,New York,Dasani Water,0.50,"10,000",5000.00,1250.00,25%
BevCo,1185732,25-01-2022,Northeast,New York,New York,Coca-Cola,0.50,"12,200",6100.00,3050.00,50%
BevCo,1185732,26-01-2022,Northeast,New York,New York,Diet Coke,0.50,"9,250",4625.00,1387.50,30%
BevCo,1185732,27-01-2022,Northeast,New York,New York,Sprite,0.40,"9,500",3800.00,1330.00,35%
BevCo,1185732,28-01-2022,Northeast,New York,New York,Fanta,0.45,"8,000",3600.00,1260.00,35%
BevCo,1185732,29-01-2022,Northeast,New York,New York,Powerade,0.60,"8,500",5100.00,1530.00,30%
BevCo,1185732,30-01-2022,Northeast,New York,New York,Dasani Water,0.50,"9,500",4750.00,1187.50,25%
BevCo,1185732,31-01-2022,Northeast,New York,New York,Coca-Cola,0.50,"12,000",6000.00,3000.00,50%
BevCo,1185732,01-02-2022,Northeast,New York,New York,Diet Coke,0.50,"9,000",4500.00,1350.00,30%
BevCo,1185732,02-02-2022,Northeast,New York,New York,Sprite,0.40,"9,000",3600.00,1260.00,35%
BevCo,1185732,03-02-2022,Northeast,New York,New York,Fanta,0.45,"8,250",3712.50,1299.38,35%
BevCo,1185732,04-02-2022,Northeast,New York,New York,Powerade,0.60,"8,250",4950.00,1485.00,30%
BevCo,1185732,05-02-2022,Northeast,New York,New York,Dasani Water,0.50,"9,500",4750.00,1187.50,25%
BevCo,1185732,06-02-2022,Northeast,New York,New York,Coca-Cola,0.60,"12,200",7320.00,3660.00,50%
BevCo,1185732,07-02-2022,Northeast,New York,New York,Diet Coke,0.55,"9,250",5087.50,1526.25,30%
BevCo,1185732,08-02-2022,Northeast,New York,New York,Sprite,0.50,"9,000",4500.00,1575.00,35%
Amazon,1185732,09-02-2022,Northeast,New York,New York,Fanta,0.50,"8,500",4250.00,1487.50,35%
Amazon,1185732,10-02-2022,Northeast,New York,New York,Powerade,0.60,"8,750",5250.00,1575.00,30%
Amazon,1185732,03-03-2022,Northeast,New York,New York,Dasani Water,0.65,"10,000",6500.00,1625.00,25%
Amazon,1185732,04-03-2022,Northeast,New York,New York,Coca-Cola,0.60,"12,500",7500.00,3750.00,50%
Amazon,1185732,05-03-2022,Northeast,New York,New York,Diet Coke,0.55,"10,000",5500.00,1650.00,30%
Amazon,1185732,06-03-2022,Northeast,New York,New York,Sprite,0.50,"9,250",4625.00,1618.75,35%
Amazon,1185732,07-03-2022,Northeast,New York,New York,Fanta,0.50,"9,000",4500.00,1575.00,35%
Amazon,1185732,08-03-2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,30%
Amazon,1185732,09-03-2022,Northeast,New York,New York,Dasani Water,0.65,"10,500",6825.00,1706.25,25%
Amazon,1185732,10-03-2022,Northeast,New York,New York,Coca-Cola,0.60,"12,750",7650.00,3825.00,50%
Amazon,1185732,11-03-2022,Northeast,New York,New York,Diet Coke,0.55,"10,250",5637.50,1691.25,30%
Amazon,1185732,12-03-2022,Northeast,New York,New York,Sprite,0.50,"9,500",4750.00,1662.50,35%
Amazon,1185732,13-03-2022,Northeast,New York,New York,Fanta,0.50,"9,000",4500.00,1575.00,35%
Amazon,1185732,14-03-2022,Northeast,New York,New York,Powerade,0.60,"9,250",5550.00,1665.00,30%
Amazon,1185732,15-03-2022,Northeast,New York,New York,Dasani Water,0.65,"11,000",7150.00,1787.50,25%
Amazon,1185732,16-03-2022,Northeast,New York,New York,Coca-Cola,0.60,"12,500",7500.00,3750.00,50%
Amazon,1185732,17-03-2022,Northeast,New York,New York,Diet Coke,0.55,"10,250",5637.50,1691.25,30%
Amazon,1185732,18-03-2022,Northeast,New York,New York,Sprite,0.50,"9,500",4750.00,1662.50,35%
Amazon,1185732,31-03-2022,Northeast,New York,New York,Fanta,0.50,"9,250",4625.00,1618.75,35%
Amazon,1185732,17-04-2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,30%
Amazon,1185732,18-04-2022,Northeast,New York,New York,Dasani Water,0.65,"10,750",6987.50,1746.88,25%
Amazon,1185732,19-04-2022,Northeast,New York,New York,Coca-Cola,0.60,"12,000",7200.00,3600.00,50%
Amazon,1185732,20-04-2022,Northeast,New York,New York,Diet Coke,0.55,"10,000",5500.00,1650.00,30%
Amazon,1185732,21-04-2022,Northeast,New York,New York,Sprite,0.50,"9,250",4625.00,1618.75,35%
Amazon,1185732,22-04-2022,Northeast,New York,New York,Fanta,0.50,"9,000",4500.00,1575.00,35%
Amazon,1185732,23-04-2022,Northeast,New York,New York,Powerade,0.60,"9,000",5400.00,1620.00,30%
Amazon,1185732,24-04-2022,Northeast,New York,New York,Dasani Water,0.65,"10,000",6500.00,1625.00,25%
Amazon,1185732,25-04-2022,Northeast,New York,New York,Powerade,0.65,"8,750",5687.50,1706.25,30%
Amazon,1185732,26-04-2022,Northeast,New York,New York,Dasani Water,0.70,"10,000",7000.00,1750.00,25%
Amazon,1185732,27-04-2022,Northeast,New York,New York,Coca-Cola,0.65,"11,500",7475.00,3737.50,50%
Amazon,1185732,28-04-2022,Northeast,New York,New York,Diet Coke,0.55,"9,750",5362.50,1608.75,30%
Amazon,1185732,29-04-2022,Northeast,New York,New York,Sprite,0.55,"9,200",5060.00,1771.00,35%
Amazon,1185732,30-04-2022,Northeast,New York,New York,Fanta,0.55,"9,000",4950.00,1732.50,35%
Amazon,1185732,01-05-2022,Northeast,New York,New York,Powerade,0.65,"8,750",5687.50,1706.25,30%
Amazon,1185732,02-05-2022,Northeast,New York,New York,Dasani Water,0.70,"9,750",6825.00,1706.25,25%
Amazon,1185732,03-05-2022,Northeast,New York,New York,Coca-Cola,0.65,"12,000",7800.00,3900.00,50%
Amazon,1185732,04-05-2022,Northeast,New York,New York,Diet Coke,0.55,"10,000",5500.00,1650.00,30%
Amazon,1185732,05-05-2022,Northeast,New York,New York,Sprite,0.55,"9,500",5225.00,1828.75,35%
Amazon,1185732,06-05-2022,Northeast,New York,New York,Fanta,0.55,"9,000",4950.00,1732.50,35%
Amazon,1185732,07-05-2022,Northeast,New York,New York,Powerade,0.65,"9,000",5850.00,1755.00,30%
Amazon,1185732,18-07-2022,Northeast,New York,New York,Dasani Water,0.70,"10,000",7000.00,1750.00,25%
Amazon,1197831,19-07-2022,Northeast,New York,New York,Coca-Cola,0.25,"9,000",2250.00,787.50,35%
Amazon,1197831,20-07-2022,Northeast,New York,New York,Diet Coke,0.35,"9,000",3150.00,1102.50,35%
Amazon,1197831,21-07-2022,Northeast,New York,New York,Sprite,0.35,"7,000",2450.00,857.50,35%
Amazon,1197831,22-07-2022,Northeast,New York,New York,Fanta,0.35,"7,000",2450.00,1102.50,45%
Amazon,1197831,23-07-2022,South,Texas,Houston,Powerade,0.40,"5,500",2200.00,660.00,30%
Amazon,1197831,24-07-2022,South,Texas,Houston,Dasani Water,0.35,"7,000",2450.00,1225.00,50%
Amazon,1197831,25-07-2022,South,Texas,Houston,Coca-Cola,0.25,"8,500",2125.00,743.75,35%
Amazon,1197831,26-07-2022,South,Texas,Houston,Diet Coke,0.35,"8,500",2975.00,1041.25,35%
Amazon,1197831,27-07-2022,South,Texas,Houston,Sprite,0.35,"6,750",2362.50,826.88,35%
